subject_id,condition,DTW_score,drawing_id,Normalized_Drawing_Score,Drawing_score,Drawing_Score_Std,map_selection,low_vis_var_lane_dev_10,low_vis_steering_acceleration_10
baggy,familiar,0.0106360374538035,jFlG,0.8708333333333333,17.416666666666668,0.473242362150023,correct,0.2283560084790873,73.54715936695128
bash,familiar,0.0415028914721899,rT6Y,0.2125,4.25,0.590726953281576,incorrect,0.3658212350002047,122.63117671502376
boned,familiar,0.0292647744565342,VKnw,0.6166666666666667,12.333333333333334,0.3191423692521128,incorrect,0.3351001790743161,86.81398984869266
cargo,familiar,0.0744360602319922,yrkT,0.7791666666666666,15.583333333333332,0.5330511406220968,correct,4.139290903227908,270.15855620695083
five,familiar,0.0101300980244651,7p9e,0.7833333333333333,15.666666666666666,0.4859126579037749,correct,0.2851852573969788,55.09676570584765
grip,familiar,0.0081572843075794,FvIH,0.3208333333333333,6.416666666666666,0.4683254250024268,incorrect,0.119430389740861,76.86753621875563
judge,familiar,0.0167409356230188,sSwD,0.3916666666666666,7.833333333333333,0.5506729889333059,correct,0.2034403983947866,64.0931992473476
mule,familiar,0.0336734448230911,RRXX,0.5916666666666666,11.833333333333332,0.8429994947496398,correct,0.2768136957572535,102.82115477890336
poker,familiar,0.0138076284825331,YdkM,0.7458333333333333,14.916666666666666,0.7180703308172535,incorrect,0.1057688069214264,123.89306250744455
polio,familiar,0.0216025608365039,LfvQ,0.6291666666666667,12.583333333333334,0.7276770498572076,correct,0.4077461949552079,123.46570381015628
rerun,familiar,0.0103439536541958,4ZPw,0.5791666666666666,11.583333333333332,0.895914079048341,correct,0.0433974031408368,92.07935261487154
slate,familiar,0.012367776582534,RZUy,0.9416666666666668,18.83333333333333,0.4330127018922194,correct,0.2095627165500947,77.71775714077714
slept,familiar,0.0179488706963635,W77r,0.275,5.5,0.2846375212766555,incorrect,0.1684147645425558,87.39245154518888
trial,familiar,0.0847241126602077,0X07,0.2125,4.250000000000001,0.125,correct,1.0238828369084452,139.34805377686956
yeast,familiar,0.0221103774664178,C1ca,0.7208333333333333,14.416666666666666,0.590726953281576,correct,0.2028970969657748,70.98430556535592
atom,unfamiliar,0.0193233499356531,bd7i,0.2,4.0,0.0,correct,0.2880176993222377,145.48332010564764
blank,unfamiliar,0.0901258364929256,5E4C,0.3166666666666666,6.333333333333333,0.3191423692521127,correct,4.12360081032128,194.396954660936
brim,unfamiliar,0.0204675638149106,,,,,,0.1061685475040251,48.65756374412958
chef,unfamiliar,0.0318411058769121,BBPd,0.4041666666666667,8.083333333333334,0.5707978496676255,incorrect,0.2127846074979419,59.627877552048
clerk,unfamiliar,0.0670769809150061,1jel,0.2958333333333333,5.916666666666667,0.275336494466653,correct,5.414933338135541,199.37822770694257
debt,unfamiliar,0.1350234972808865,Hqop,0.7375,14.75,0.4924193861454399,correct,1.68821385620097,208.8945257247181
filth,unfamiliar,0.0140588419009537,qRmw,0.1125,2.25,0.1577474540500076,incorrect,0.1431354526141313,41.83844244588595
grid,unfamiliar,0.2361085071237118,9lgL,0.3041666666666666,6.083333333333333,0.3624441208527746,correct,2.886376604544324,188.33634743680196
lens,unfamiliar,0.0472095609998335,Id11,0.3958333333333333,7.916666666666667,0.3989279615651409,incorrect,0.2968476460253337,75.34521049062391
limb,unfamiliar,0.0372147193026711,2UGt,0.2041666666666666,4.083333333333333,0.2753364944666528,incorrect,0.2010706559081304,88.55009506151288
most,unfamiliar,0.0339341369566847,JwpD,0.15,3.0000000000000004,0.3967460238079361,incorrect,0.485711284935619,79.96495498610736
proof,unfamiliar,0.0688590590136638,zV13,0.1416666666666666,2.833333333333333,0.1595711846260563,incorrect,0.1560459735287238,65.33951299890671
slimy,unfamiliar,0.0176671297962401,QMXt,0.3541666666666666,7.083333333333333,0.4376653126830202,correct,0.2689769767084757,57.863589089320826
swarm,unfamiliar,0.1579726172113585,B3Fs,0.0333333333333333,0.6666666666666666,0.1360827634879543,incorrect,3.09254060442305,161.4943096927293
wok,unfamiliar,0.0458379017863314,Zq2a,0.2583333333333333,5.166666666666666,0.3154949081000152,incorrect,0.4533030991900577,128.41828062141605
