subject_id,condition,drawing_id,Normalized Score,Score,Score Std,map_selection
slate,familiar,RZUy,0.9416666666666667,18.833333333333332,0.43301270189221946,correct
baggy,familiar,jFlG,0.8708333333333333,17.416666666666668,0.473242362150023,correct
five,familiar,7p9e,0.7833333333333333,15.666666666666666,0.4859126579037749,correct
cargo,familiar,yrkT,0.7791666666666666,15.583333333333332,0.5330511406220968,correct
poker,familiar,YdkM,0.7458333333333333,14.916666666666666,0.7180703308172535,incorrect
debt,unfamiliar,Hqop,0.7375,14.75,0.49241938614543995,correct
yeast,familiar,C1ca,0.7208333333333333,14.416666666666666,0.590726953281576,correct
polio,familiar,LfvQ,0.6291666666666667,12.583333333333334,0.7276770498572076,correct
boned,familiar,VKnw,0.6166666666666667,12.333333333333334,0.31914236925211287,incorrect
mule,familiar,RRXX,0.5916666666666666,11.833333333333332,0.8429994947496398,correct
rerun,familiar,4ZPw,0.5791666666666666,11.583333333333332,0.895914079048341,correct
chef,unfamiliar,BBPd,0.4041666666666667,8.083333333333334,0.5707978496676255,incorrect
lens,unfamiliar,Id11,0.39583333333333337,7.916666666666667,0.3989279615651409,incorrect
judge,familiar,sSwD,0.39166666666666666,7.833333333333333,0.5506729889333059,correct
slimy,unfamiliar,QMXt,0.35416666666666663,7.083333333333333,0.4376653126830202,correct
grip,familiar,FvIH,0.3208333333333333,6.416666666666666,0.46832542500242685,incorrect
blank,unfamiliar,5E4C,0.31666666666666665,6.333333333333333,0.31914236925211276,correct
grid,unfamiliar,9lgL,0.30416666666666664,6.083333333333333,0.3624441208527746,correct
clerk,unfamiliar,1jel,0.29583333333333334,5.916666666666667,0.275336494466653,correct
slept,familiar,W77r,0.275,5.5,0.28463752127665554,incorrect
wok,unfamiliar,Zq2a,0.2583333333333333,5.166666666666666,0.3154949081000152,incorrect
trial,familiar,0X07,0.21250000000000005,4.250000000000001,0.12500000000000006,correct
bash,familiar,rT6Y,0.2125,4.25,0.590726953281576,incorrect
limb,unfamiliar,2UGt,0.20416666666666666,4.083333333333333,0.27533649446665287,incorrect
atom,unfamiliar,bd7i,0.2,4.0,0.0,correct
most,unfamiliar,JwpD,0.15000000000000002,3.0000000000000004,0.3967460238079361,incorrect
proof,unfamiliar,zV13,0.14166666666666666,2.8333333333333335,0.15957118462605638,incorrect
filth,unfamiliar,qRmw,0.1125,2.25,0.1577474540500076,incorrect
swarm,unfamiliar,B3Fs,0.03333333333333333,0.6666666666666666,0.13608276348795434,incorrect
brim,unfamiliar,,,,,
