subject_id,track_segment,condition,DTW_score
brim,traffic_circle,unfamiliar,0.045640189767860204
brim,asymmetric_parabolic_2,unfamiliar,0.014780099136655244
brim,t_turn,unfamiliar,0.0034533428970318965
brim,asymmetric_parabolic_1,unfamiliar,0.06760509075424338
brim,spiral,unfamiliar,0.007130106340441365
chef,chicane,unfamiliar,0.0032631910825396495
chef,triple_s,unfamiliar,0.10430115136347215
chef,symmetric_parabolic,unfamiliar,0.01272431567836392
chef,traffic_circle,unfamiliar,0.05743128063340134
chef,asymmetric_parabolic_2,unfamiliar,0.04982171687378636
chef,t_turn,unfamiliar,0.010395953191993726
chef,asymmetric_parabolic_1,unfamiliar,0.007941869657628291
chef,spiral,unfamiliar,0.008849368534111756
clerk,chicane,unfamiliar,0.038797937223319715
clerk,triple_s,unfamiliar,0.050967488497697756
clerk,symmetric_parabolic,unfamiliar,0.03700992880614851
clerk,traffic_circle,unfamiliar,0.11059432624439464
clerk,asymmetric_parabolic_2,unfamiliar,0.022873414481169318
clerk,t_turn,unfamiliar,0.04364114074902793
clerk,asymmetric_parabolic_1,unfamiliar,0.050631792374258175
clerk,spiral,unfamiliar,0.1820998189440333
debt,chicane,unfamiliar,0.031131698883406087
debt,triple_s,unfamiliar,0.04990348975691922
debt,symmetric_parabolic,unfamiliar,0.018304196792878487
debt,traffic_circle,unfamiliar,0.06517819281212633
debt,asymmetric_parabolic_2,unfamiliar,0.11686137866810797
debt,t_turn,unfamiliar,0.07864278481164087
debt,asymmetric_parabolic_1,unfamiliar,0.36896546300068606
debt,spiral,unfamiliar,0.3512007735213275
grid,chicane,unfamiliar,0.004374152678157334
grid,triple_s,unfamiliar,0.031182574009555653
grid,symmetric_parabolic,unfamiliar,0.04216117221385654
grid,traffic_circle,unfamiliar,0.05797134542004993
grid,asymmetric_parabolic_2,unfamiliar,0.20391678236240923
grid,t_turn,unfamiliar,0.051561694751083104
grid,asymmetric_parabolic_1,unfamiliar,0.4673871286609878
grid,spiral,unfamiliar,1.0303132068935954
lens,chicane,unfamiliar,0.005327880605176432
lens,triple_s,unfamiliar,0.02088569625742593
lens,symmetric_parabolic,unfamiliar,0.05507594009615137
lens,traffic_circle,unfamiliar,0.013472458239888435
lens,asymmetric_parabolic_2,unfamiliar,0.01862953325389955
lens,t_turn,unfamiliar,0.007784981490249969
lens,asymmetric_parabolic_1,unfamiliar,0.11666451786807137
lens,spiral,unfamiliar,0.13983548018780523
limb,chicane,unfamiliar,0.024781321274070553
limb,triple_s,unfamiliar,0.06725957436812581
limb,symmetric_parabolic,unfamiliar,0.08390594715792048
limb,traffic_circle,unfamiliar,0.012893643367129346
limb,asymmetric_parabolic_2,unfamiliar,0.08077937701764439
limb,t_turn,unfamiliar,0.008838067012409837
limb,asymmetric_parabolic_1,unfamiliar,0.009787108883728045
limb,spiral,unfamiliar,0.00947271534034049
most,chicane,unfamiliar,0.0058576324882129134
most,triple_s,unfamiliar,0.01920160225526825
most,symmetric_parabolic,unfamiliar,0.008040254005713784
most,traffic_circle,unfamiliar,0.06913381286863497
most,asymmetric_parabolic_2,unfamiliar,0.017870735867541777
most,t_turn,unfamiliar,0.004238353329454259
most,asymmetric_parabolic_1,unfamiliar,0.00906922587867079
most,spiral,unfamiliar,0.13806147895998086
slimy,chicane,unfamiliar,0.005511385120631833
slimy,triple_s,unfamiliar,0.08447896686810338
slimy,symmetric_parabolic,unfamiliar,0.007770742572182759
slimy,traffic_circle,unfamiliar,0.006333771956944643
slimy,asymmetric_parabolic_2,unfamiliar,0.02263123709866021
slimy,t_turn,unfamiliar,0.00501964240380628
slimy,asymmetric_parabolic_1,unfamiliar,0.0044846023755013426
slimy,spiral,unfamiliar,0.005106689974091145
swarm,chicane,unfamiliar,0.0504908893563131
swarm,triple_s,unfamiliar,0.0927649924276915
swarm,symmetric_parabolic,unfamiliar,0.1280791571509744
swarm,traffic_circle,unfamiliar,0.14083258568698057
swarm,asymmetric_parabolic_2,unfamiliar,0.17757363764854686
swarm,t_turn,unfamiliar,0.09271660297365991
swarm,asymmetric_parabolic_1,unfamiliar,0.20287966502002602
swarm,spiral,unfamiliar,0.3784434074266763
wok,chicane,unfamiliar,0.007897957139863986
wok,triple_s,unfamiliar,0.02967274754801186
wok,symmetric_parabolic,unfamiliar,0.0068945545508460075
wok,traffic_circle,unfamiliar,0.11091901396604054
wok,asymmetric_parabolic_2,unfamiliar,0.008476153136232914
wok,t_turn,unfamiliar,0.009421629267027687
wok,asymmetric_parabolic_1,unfamiliar,0.005675531874102953
wok,spiral,unfamiliar,0.18774562680852544
