subject_id,Segments,Segment Costs,Condition
wish,asymmetric_parabolic_2,0.0189,control
wish,t_turn,0.0063,control
wish,asymmetric_parabolic_1,0.0235,control
wish,spiral,0.0025,control
brave,chicane,0.0321,ss
brave,triple_s,0.0782,ss
brave,symmetric_parabolic,0.0277,ss
brave,traffic_circle,0.0719,ss
brave,asymmetric_parabolic_2,0.0237,ss
brave,t_turn,0.0239,ss
brave,asymmetric_parabolic_1,0.0068,ss
brave,spiral,0.0211,ss
comic,chicane,0.0569,ss
comic,triple_s,0.0211,ss
comic,symmetric_parabolic,0.0142,ss
comic,traffic_circle,0.0151,ss
comic,asymmetric_parabolic_2,0.0193,ss
comic,t_turn,0.0369,ss
comic,asymmetric_parabolic_1,0.0344,ss
comic,spiral,0.018,ss
crop,chicane,0.0665,ss
crop,triple_s,0.0576,ss
crop,symmetric_parabolic,0.0236,ss
crop,traffic_circle,0.0956,ss
crop,asymmetric_parabolic_2,0.0226,ss
crop,t_turn,0.0191,ss
crop,asymmetric_parabolic_1,0.007,ss
crop,spiral,0.0176,ss
dial,chicane,0.0103,ss
dial,triple_s,0.0669,ss
dial,symmetric_parabolic,0.0367,ss
dial,traffic_circle,0.0247,ss
dial,asymmetric_parabolic_2,0.0243,ss
dial,t_turn,0.012,ss
dial,asymmetric_parabolic_1,0.0176,ss
dial,spiral,0.0229,ss
donor,chicane,0.0087,ss
donor,triple_s,0.1135,ss
donor,symmetric_parabolic,0.021,ss
donor,traffic_circle,0.0077,ss
donor,asymmetric_parabolic_2,0.0182,ss
donor,t_turn,0.0135,ss
donor,asymmetric_parabolic_1,0.0248,ss
donor,spiral,0.003,ss
even,chicane,0.0729,ss
even,triple_s,0.0801,ss
even,symmetric_parabolic,0.0225,ss
even,traffic_circle,0.0302,ss
even,asymmetric_parabolic_2,0.0191,ss
even,t_turn,0.0114,ss
even,asymmetric_parabolic_1,0.0183,ss
even,spiral,0.1515,ss
gave,chicane,0.0323,ss
gave,triple_s,0.0616,ss
gave,symmetric_parabolic,0.0357,ss
gave,traffic_circle,0.01,ss
